pricing_model_commit_hash,pricing_model_version
16f4d25ebadb7ad367124165dfdd38795cc62bdf,2
0fd48f5ae2b94e66674241d5e6134420d1cdf4a1,2
27a718d8ac8692a3caf82bdcfaa909c3fb32e155,3
c4ff1e46fbaeed6e4079032e9386460b420686a5,4
4b3ba2ff489696a12b1d2e9e875ea3941f73267b,3
b9004ef3b177aa42421182719d61e34cab48430a,5
458953b335a0498cdffba3263da12f78712f1c08,5
6699ff8f9aa572276871d9bac057fba2ac6037ae,5
649f9e6369d75c75981744adde154958d5c014ea,5
2ae376a2b885e6f14aa450d8a637f2d6ac2f09c2,5
6b62ee182b2586160ecd9c1c800d53d1569f341d,5
b6f3971abae849f68332c3332f34f1b88c642f47,5
7a36eeb3741b36c8d7cf1395a7effd71844d63de,5
e4b365182a5919b8468a4e305bd768cfbd9d10d5,5
e5f199d6872c3e1dbbda3db69635316cf856eaeb,6.0.0
6351fed7865669baef8b4cfecaf3034935aaa586,6.0.0
7c42e378d7d08dd39a18820bf5a8fb6eb9e10cd5,6.0.0
855b9a69578b68871d960b992bac46aeb031ca02,6.0.0
238700a20213f8ddc75d50cf0cefd0ec71caba0b,6.0.0
ed758b8fc67e32011965a4acb3af2a6e78fc8576,6.1.0
6e0b9d079b5ea94fe0743a06359b096a382a0b8e,6.2.0
0230feda6e02d29152f1685f766d876ec84791af,6.2.0
2a055d427cd987eb2ef952f55c7f24a50adb0615,6.3.0
342b4b5848df010bef35bd80d2ab087febedfaf0,6.4.0
b5405de91a5f38a7f262f156a8d4c6aac65fe65c,6.5.0
232a325fdb2ea5e88f2e3e3fe4a31dc1ae53e24c,6.6.0